Track Name,Artist Name,Popularity,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,Lyrics
失落沙洲,LaLa Hsu,56,0.728,0.422,299347,0.366,0,7,0.112,-7.181,1,0.0333,80.197,4,0.224,"又來到這個港口 沒有原因的拘留
我的心乘著斑駁的輕舟
尋找失落的沙洲

隨時間的海浪漂流
我用力張開雙手
擁抱那麼多起起落落
想念的還是你望著我的眼波

我不是一定要你回來
只是當又一個人看海
回頭才發現你不在
留下我迂迴的徘徊

我不是一定要你回來
只是當又把回憶翻開
除了你之外的空白
...

******* This Lyrics is NOT for Commercial use *******"
慢冷,Fish Leong,62,0.786,0.521,289604,0.471,0,4,0.105,-8.247,1,0.0317,92.054,4,0.269,"說完了 好像話都說完了
總是沉默對坐著
眼裡是濃濃夜色
感情是偏執的 越愛越是偏執的
不相信我看到的
硬要說裂縫不過 是皺褶

怎麼先熾熱的卻先變冷了
慢熱的卻停不了還在沸騰著
看時光任性快跑隨意就轉折
慢冷的人啊 會自我折磨
衝動的人向來聽不見挽留
...

******* This Lyrics is NOT for Commercial use *******"
Without You,高爾宣 OSN,65,0.573,0.669,175500,0.698,0,11,0.102,-4.613,1,0.091,80.003,4,0.286,"I'm still the same 都好像沒有變
Nothing changed 還是討厭下雨天
還是不愛認錯
脾氣是硬了點
這我都清楚但我沒有辦法改變
我後悔高中花錢裝很吵的排氣管
想努力賺錢養妳 卻養成了壞習慣
我還想帶妳到處晃晃到處帶妳玩
Cuz me without you it feels like
情人節沒有愛人
像台相機沒有快門
像張書桌沒有檯燈
Cuz me without you it feels like
A sentence without no spaces
It be like youtube without no playlist
Or a chapter without no pages
Cuz me without you it feels just wrong
I don't wanna live without you
I dont wanna be alone and
想念妳的每個角度
如果我們還能夠重來
Oh
...

******* This Lyrics is NOT for Commercial use *******"
年少有為,Ronghao Li,62,0.322,0.518,279147,0.462,3.13e-06,10,0.117,-8.471,1,0.0277,131.892,4,0.289,"電視一直閃
聯絡方式都還沒刪
你待我的好
我卻錯手毀掉
也曾一起想
有個地方睡覺吃飯
可怎麼去熬日夜顛倒連頭款也凑不到
牆板 被我砸爛 到現在還沒修
一碗熱的粥 你怕我沒夠 都留一半帶走
給你形容 美好今後你常常眼睛會紅
原來心疼我 我那時候不懂
假如我年少有為不自卑
懂得什麼是珍貴
那些美夢
沒給你 我一生有愧
假如我年少有為 知進退
...

******* This Lyrics is NOT for Commercial use *******"
紅色高跟鞋,Tanya Chua,62,0.104,0.476,206587,0.659,0,11,0.232,-4.898,0,0.0251,176.018,4,0.492,"該怎麼去形容你最貼切
拿什麼跟你作比較才算特別
對你的感覺 強烈
卻又不太瞭解 只憑直覺

你像窩在被子裡的舒服
卻又像風 琢磨不住
像手腕上散發的香水味
像愛不釋手的 紅色高跟鞋

該怎麼去形容你最貼切
...

******* This Lyrics is NOT for Commercial use *******"
給我一個理由忘記,A-Lin,59,0.583,0.399,285547,0.512,0,8,0.104,-5.801,1,0.0357,133.175,4,0.197,"雨都停了 這片天灰什麼呢
我還記得 你說我們要快樂
深夜裡的腳步聲 總是刺耳

害怕寂寞 就讓狂歡的城市陪我關燈
只是哪怕周圍再多人 感覺還是一個人
每當我笑了 心卻狠狠的哭著

給我一個理由忘記 那麼愛我的你
給我一個理由放棄 當時做的決定
有些愛 越想抽離卻越更清晰
...

******* This Lyrics is NOT for Commercial use *******"
刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,61,0.873,0.425,320166,0.201,0,10,0.111,-11.961,1,0.0373,136.328,4,0.267,"Oublie-le 好幾次我告訴我自己
越想努力趕上光的影
越無法抽離 而已

Je t'aimais 刻骨銘心只有我自己
好不容易交出真心的勇氣
你沉默的回應 是善意

刻在我心底的名字
忘記了時間這回事
於是謊言說了一次就一輩子
曾頑固跟世界對峙
覺得連呼吸都是奢侈
如果有下次 我會再愛一次
刻在我心底的名字
...

******* This Lyrics is NOT for Commercial use *******"
遇見,Stefanie Sun,63,0.841,0.631,209760,0.233,3.24e-06,8,0.228,-13.016,1,0.0329,91.864,4,0.442,"聽見 冬天的離開
我在某年某月醒過來
我想 我等 我期待
未來卻不能因此安排

陰天 傍晚 車窗外
未來有一個人在等待
向左 向右 向前看
愛要拐幾個彎才來?

...

******* This Lyrics is NOT for Commercial use *******"
"如果可以 - 電影""月老""主題曲",WeiBird,67,0.241,0.54,274400,0.54,0,3,0.351,-6.368,1,0.029,74.969,4,0.372,Lyrics not found
CHANGE,瘦子E.SO,33,0.683,0.737,161633,0.492,0,7,0.0926,-8.598,1,0.374,97.805,4,0.599,Lyrics not found
兜圈 (偶像劇「必娶女人」片尾曲),Yoga Lin,47,0.849,0.605,245521,0.31,0,7,0.136,-10.276,1,0.039,118.028,4,0.292,"玩玩積木 換換座位
聽聽唱片 又輪迴了幾遍
騎騎單車 盪盪鞦韆
看看雲堆 還要吹散幾遍
喔 不知不覺 已走了多遠
妳打呵欠 我遊花園
差一點多ㄧ些

路過了學校花店 荒野到海邊
有一種浪漫的愛 是浪費時間
徘徊到繁華世界
才發現妳背影 平凡得特別
繞過了城外邊界 還是沒告別
愛錯過了太久 反而錯的完美無缺
幸福兜了ㄧ個圈

想去的終點
...

******* This Lyrics is NOT for Commercial use *******"
無人知曉,Hebe Tien,59,0.859,0.471,288733,0.432,0,4,0.0915,-7.846,0,0.0454,129.386,4,0.159,"我像是 小數點 第幾位
存在但 能自動 被省略
也習慣不避嫌 跟你看作一對

你也算 夠謹慎 的同類
踏著卻 不逾越 那條線
發生一切 或不發生一切
又有什麼 差別

看不見 聽不到 愛不了 卻注定要糾結
我想我 是壞人 故意不聽懂你的拒絕
難以昭告世界 愛上你多優越
無人知曉 可不可憐

不靠近 不走遠 不定義 像玩笑的曖昧
...

******* This Lyrics is NOT for Commercial use *******"
讓我為你唱情歌,Jam Hsiao,50,0.0905,0.377,251000,0.682,0,3,0.163,-3.795,1,0.0312,171.106,4,0.42,"印象中你帽子遮臉
在教室裡面 不發一語過每一天
眼神中有點落寞 有點藏著什麼
我問你搖頭 眼光卻閃爍 遙控我感受

眼前的人帽子遮臉
轉角咖啡店 戴耳機隔絕了世界
我遞上一杯咖啡 你笑著說謝謝
我知道是你 溫暖了空氣 我又遇見你
這次就 讓我為你唱情歌

讓我對你說愛你
請你相信我的真心
別再害怕 天塌了我會扛下
...

******* This Lyrics is NOT for Commercial use *******"
年輪說,Rainie Yang,53,0.758,0.478,266453,0.37,0,4,0.134,-9.806,1,0.0523,147.995,4,0.318,"看 回憶這把刀
切開我身體 研究我的風雨
這圈是我 那圈是你 開過心的開心

看 成長的痕跡
包裹我生命 篆刻我的章印
計算著我 計算著你 過不去的過去

一是嬰兒哭啼 二是學遊戲
三是青春物語 四是碰巧遇見你
了解這個你 沉迷這個你
...

******* This Lyrics is NOT for Commercial use *******"
Last Dance,Wu Bai,55,0.0158,0.463,271533,0.62,1.26e-06,6,0.195,-7.27,0,0.0289,151.311,4,0.492,"所以暫時將你眼睛閉了起來
黑暗之中漂浮我的期待
平靜臉孔映著繽紛色彩
讓人好不疼愛

你可以隨著我的步伐輕輕柔柔的踩
將美麗的回憶慢慢重來
突然之間浪漫無法釋懷
明天我要離開
...

******* This Lyrics is NOT for Commercial use *******"
飞鸟和蝉,Ren Ran,62,0.722,0.578,296007,0.508,0,10,0.105,-8.884,1,0.0536,147.94,4,0.304,"你說青澀最搭初戀 如小雪落下海岸線
第五個季節某一天上演 我們有相遇的時間

你說空瓶適合許願 在風暖月光的地點
第十三月你就如期出現 海之角也不再遙遠

你驕傲的飛遠 我棲息的夏天
聽不見的宣言 重複過很多年
北緯線的思念被季風吹遠
吹遠默唸的側臉 吹遠鳴唱的詩篇

你驕傲的飛遠 我棲息的葉片
去不同的世界 卻從不曾告別
...

******* This Lyrics is NOT for Commercial use *******"
你啊你啊 - 電視劇「用九柑仔店」插曲,Waa Wei,55,0.903,0.585,326227,0.187,0,9,0.0929,-12.514,1,0.0364,123.862,4,0.179,"我最喜歡和你一起發生的
是最平淡最簡單的日常
面對面看著彼此咀嚼食物
是最平靜最安心的時光

我不喜歡你和別人發生的
是最曖昧最不明的隱藏
面對面看著彼此假裝正常
是最可怕最噁心的事啊

欸嗚欸嗚欸欸 嗚嗚嗚喔喔
咦耶咦耶欸 嗚嗚嗚喔喔
咦耶咦耶欸 嗚喔喔 喔
欸嗚欸嗚欸欸 嗚嗚嗚喔喔
咦耶咦耶欸 嗚嗚嗚喔喔
...

******* This Lyrics is NOT for Commercial use *******"
小情歌（蘇打綠版）,sodagreen,45,0.654,0.535,276627,0.493,0,2,0.0673,-7.846,1,0.0307,131.987,4,0.262,"這是一首簡單的小情歌
唱著人們心腸的曲折
我想我很快樂 當有你的溫熱
腳邊的空氣轉了

這是一首簡單的小情歌
唱著我們心頭的白鴿
我想我很適合 當一個歌頌者
青春在風中飄著

你知道 就算大雨讓這座城市顛倒
我會給你懷抱
受不了 看見你背影來到
寫下我 度秒如年難挨的離騷

...

******* This Lyrics is NOT for Commercial use *******"
演員,Joker Xue,62,0.399,0.53,261250,0.432,7.81e-06,11,0.113,-10.678,1,0.0472,182.842,4,0.186,"簡單點 說話的方式簡單點
遞進的情緒請省略
你又不是個演員
別設計那些情節

沒意見 我只想看看你怎麼圓
你難過的太表面 像沒天賦的演員
觀眾一眼能看見

該配合你演出的我 演視而不見
在逼一個最愛你的人 即興表演
什麼時候我們開始 收起了底線
順應時代的改變 看那些拙劣的表演

可你曾經那麼愛我 幹嘛演出細節
我該變成什麼樣子 才能延緩厭倦
原來當愛放下防備後的這些那些
...

******* This Lyrics is NOT for Commercial use *******"
你是不是有點動心 - Original,Julia Wu,50,0.634,0.591,268350,0.349,0,3,0.111,-9.082,1,0.0363,131.927,3,0.323,"愛上你的日子總是過得特別快
心跳加速從來也不會變緩慢
時間就停止現在
我不要再說晚安

妳還記得 那天下雨下得多浪漫
陪妳逛街 怎麼逛腳都不會痠
踩著妳腳印沙灘
生日號碼的航班
什麼都願意為妳 為妳為妳為妳而

放下恐懼 直到失去力氣
直到我有了妳 我不寂寞孤寂
需要妳的聲音 需要妳的呼吸
我只想

...

******* This Lyrics is NOT for Commercial use *******"
慢慢喜欢你,Karen Mok,57,0.849,0.619,222120,0.255,1.38e-05,7,0.352,-12.823,1,0.0403,130.056,4,0.365,"書裡總愛寫到喜出望外的傍晚
騎的單車還有他和她的對談
女孩的白色衣裳 男孩愛看她穿
好多橋段 好多都浪漫
好多人心酸 好聚好散
好多天都看不完

剛才吻那你一下 你也喜歡對嗎
不然怎麼一直牽我的手不放
你說你好想帶我回去你的家鄉
綠瓦紅磚 柳樹和青苔
過去和現在 都一個樣
你說你也會這樣
...

******* This Lyrics is NOT for Commercial use *******"
不是因為天氣晴朗才愛你,理想混蛋,65,0.753,0.507,240754,0.271,1.23e-06,8,0.0883,-13.185,1,0.0347,135.783,4,0.399,"不是因為天氣晴朗才愛你
不是因為看見星星才想你
不是因為剛好沒有別的事
才一直 一直 一直
在腦海裡複習
擁抱你 什麼角度最合適

其實我 常會想像我們老了的樣子
左邊牽著手 右手拉小狗
可能還有很多小孩子

其實我 不是因為好天氣才這麼說
...

******* This Lyrics is NOT for Commercial use *******"
"想見你想見你想見你(電視劇""想見你""片尾曲)",831,62,0.4,0.547,239795,0.666,0,6,0.144,-5.694,1,0.0393,129.814,4,0.43,"當愛情遺落成遺跡
用象形刻劃成回憶
想念幾個世紀 才是刻骨銘心？
若能回到冰河時期
多想把你抱緊處理
你的笑多療癒 讓人生也甦醒

失去你的風景 像座廢墟 像失落文明
能否 一場奇蹟 一線生機
能不能又再一次相遇

想見你 只想見你 未來過去 我只想見你
穿越了 千個萬個 時間線裡 人海裡相依
用盡了 邏輯心機 推理愛情 最難解的謎
會不會 妳也和我一樣 在等待一句我願意

...

******* This Lyrics is NOT for Commercial use *******"
炙愛 - 女聲版,Vicky Chen,58,0.263,0.407,181184,0.497,0,6,0.112,-5.828,0,0.0357,152.194,4,0.312,Lyrics not found
當你,Cyndi Wang,63,0.661,0.638,203200,0.646,0,4,0.105,-4.615,1,0.0315,135.98,4,0.208,"如果有一天
我回到從前
回到最原始的我
你是否會覺得我不錯

如果有一天
我離你遙遠
不能再和你相約
你是否會發覺我已經說再見

當你的眼睛瞇著笑
當你喝可樂當你吵
我想對你好 你從來不知道
想你想你 也能成為嗜好

當你說今天的煩惱
當你說夜深你睡不著
我想對你說 卻害怕都說錯
...

******* This Lyrics is NOT for Commercial use *******"
SPOTLIGHT,頑童Mj116,30,0.191,0.733,214682,0.734,1.77e-05,1,0.0942,-7.171,0,0.0786,100.041,4,0.241,"期待她今天是什麼打扮
其實就算沒有穿也好看
可能怕我東西弄不見
最好別冒險 整晚牽著女伴

旁邊都在問 她是誰 新的妹 幫她鋪餐巾
她是瘦 還是肥 我都不在意
別開車 不安全 因為在看妳
媽我把到女明星

根本藏不住妳 我藏不住妳
擔心被別人注意

She's over stunned under spotlight
跟她上街變得好秋 像個明星戴著雷朋
感到溫暖 她的spotlight
她的美只在我眼中 哎呀其他人不會懂

08被閃閃閃 閃閃瞎雙眸
...

******* This Lyrics is NOT for Commercial use *******"
Forever Young,Eve Ai,51,0.929,0.304,313907,0.226,0,0,0.161,-10.707,1,0.0329,139.593,4,0.323,"像孩子那樣哭著鬧著
像大人那樣安靜沈穩的
活得 高亢 低落 高亢 低落
有個沙漏 在心中盪呀
默許時間讓皺紋蔓延了
對在意的事手也握緊了
不願 得過 且過 可無 可有
不是命運 這是我最深愛的

時間啊 來吧
再重來一次我都會
沒有明天般揮霍著
找到你 時間啊 走吧
我依然還是那個她
沒有明天地去愛著

Forever young
Forever young
學著遙望 手卻不會放
...

******* This Lyrics is NOT for Commercial use *******"
在沒有你以後 (feat. 張智成),R-chord,59,0.294,0.517,233636,0.761,0,9,0.111,-6.011,1,0.0351,131.985,4,0.521,"什麼時候 開始一個人
習慣一個人 算不算天份
怎麼學會 抽完菸一根
接著再一根 算不算看透了

不想要承認 也不想默認
我只想麻痺著什麼
不需要過問 也不必再問
就讓時間捫心自問

有多久
後座沒人坐 沒人抱著我
沒有撒嬌電話 沒有深情的吻
沒人整理的房間像闖空門

有多久
後來沒有我 沒有再牽手
沒有再為了爭吵 誰先認錯
...

******* This Lyrics is NOT for Commercial use *******"
Black Out (feat. 9m88),ØZI,52,0.556,0.772,237407,0.559,0,1,0.101,-8.735,1,0.124,100.056,4,0.794,"Cruising down the streets in my 6-4
I'm about to get lit with my 6 hoes
I mean 6 bros
But haha probably both, I mean god knows
Who we're gonna see in the clubs tonight
我穿梭這城市的neon-lights
有莫名的預感
今晚我又要醉了到底怎麼辦
想不到 該去哪裡pregame
我不要, 那裡一堆瞎妹
想領桌 但還沒12點
Let's just Suntory and tea隨便
Oh I don't care
Where we go
因為 I know...

就這樣一起 B.O. tonight
讓我們一起 B.O. tonight
We about to B.O., B.O.
We about to B.O., B.O.

就這樣一起 B.O. tonight
讓我們一起 B.O. tonight
We about to B.O., B.O.
We about to B.O., B.O.
...

******* This Lyrics is NOT for Commercial use *******"
我真的受傷了,Jacky Cheung,56,0.906,0.603,208893,0.0762,5.08e-05,7,0.218,-21.221,1,0.0325,72.917,4,0.371,"窗外陰天了 音樂低聲了
我的心開始想妳了

燈光也暗了 音樂低聲了
口中的棉花糖也融化了
窗外陰天了 人是無聊了
我的心開始想妳了

電話響起了 你要說話了
...

******* This Lyrics is NOT for Commercial use *******"
恆溫,Shi Shi,51,0.455,0.693,260647,0.373,0,1,0.104,-8.31,1,0.0306,129.974,5,0.27,"你並不是冷血動物
只是有太多寂寞孤獨
多愛過於痛苦 少愛卻不能滿足
難相處

我是多你幾分熱度
不只有想被你呵護
當我慢慢地付出 愛卻悄悄變荒蕪
不如各退一步
何苦

...

******* This Lyrics is NOT for Commercial use *******"
Love Me True,Power Station,46,0.285,0.471,313282,0.502,0,2,0.108,-6.357,1,0.0295,148.009,4,0.201,"難以置信 我沒被放棄 還有個妳 等在結局
無法言喻 此刻的心情 已經絕望 愛才降臨

請別介意 我的笨拙遲疑 畢竟我也不常擁有感情

我很好騙 只需要動用幾滴眼淚
就會深陷 才剛掙脫的那場夢魘
笨到極點 再爛的謊言都視而不見
我 根本活該被騙

我很好騙 對愛太渴望變成死穴
所有防備 全都防不了孤單侵略
隨便個誰 就迫不及待又掏心掏肺
...

******* This Lyrics is NOT for Commercial use *******"
路過人間,Yisa Yu,51,0.825,0.615,247133,0.386,4.46e-06,3,0.115,-9.799,1,0.0312,129.925,4,0.148,"嘿 意不意外 她背影 那麼輕快
嘿 要明白 人會來 就會離開

世上唯一不變 是人都善變
路過人間 愛都有期限
天可憐見 心碎在所難免

以為痛過幾回 多了些修煉
路過人間 就懂得防衛
說來慚愧 人只要有機會 就又淪陷

...

******* This Lyrics is NOT for Commercial use *******"
末班車,Ricky Hsiao,52,0.72,0.483,288667,0.332,0,6,0.107,-9.044,0,0.031,113.855,4,0.162,"空著手 猶如你來的時候
緊皺的額頭 終於再沒有苦痛
走得太累了 眼皮難免會沉重
你沒錯 是應該回家坐坐

鳴笛聲 悄悄地刺進耳朵
這一次揮手 恐怕再沒機會問候
最後一遍了 換你躲進我雙肘
像靠在 曾搖動我的天空

別說話 淚水你別帶走
...

******* This Lyrics is NOT for Commercial use *******"
你不知道的事,Leehom Wang,59,0.47,0.488,278987,0.288,0,1,0.114,-9.922,1,0.0253,86.993,4,0.303,"蝴蝶眨幾次眼睛
才學會飛行
夜空灑滿了星星
但幾顆會落地

我飛行 但你墜落之際
很靠近 還聽見呼吸
對不起 我卻沒捉緊你

你不知道我為什麼離開你
我堅持不能說放任你哭泣
你的淚滴像傾盆大雨 碎了滿地
在心裡清晰

你不知道我為什麼狠下心
...

******* This Lyrics is NOT for Commercial use *******"
旅行的意義,Cheer Chen,52,0.38,0.525,256707,0.516,0,2,0.365,-7.931,1,0.0299,137.972,4,0.25,"你看過了許多美景 你看過了許多美女
你迷失在地圖上每一道短暫的光陰
你品嚐了夜的巴黎 你踏過下雪的北京
你熟記書本裡每一句你最愛的真理

卻說不出你愛我的原因
卻說不出你欣賞我哪一種表情
卻說不出在什麼場合我曾讓你動心
說不出 離開的原因
...

******* This Lyrics is NOT for Commercial use *******"
我們的愛,F.I.R.,59,0.502,0.509,287027,0.646,1.23e-05,5,0.0989,-4.051,0,0.0301,136.054,4,0.135,"回憶裡想起模糊的小時候
雲朵漂浮在藍藍的天空
那時的你說 要和我手牽手
一起走到時間的盡頭

從此以後我都不敢抬頭看
彷彿我的天空失去了顏色
從那一天起 我忘記了呼吸
眼淚啊永遠不再 不再哭泣

我們的愛 過了就不再回來
直到現在 我還默默的等待
我們的愛 我明白
已變成你的負擔
...

******* This Lyrics is NOT for Commercial use *******"
來個蹦蹦,玖壹壹,49,0.133,0.829,195680,0.87,0,9,0.203,-3.829,0,0.0518,116.006,4,0.659,"夜來臨我要把握 時間短不多
Tonight, tonight, oh
黑矇矇的天空 想來個蹦蹦
Tonight, tonight, oh

蹦 來個蹦蹦 蹦 來個蹦
蹦 來個蹦蹦 蹦 來個蹦

蹦 來個蹦蹦 蹦 來個蹦

蹦 來個蹦蹦 蹦 來個蹦

欸 我的家鄉味 這裡買醉比家鄉貴
把握機會 光陰如流水
我的bling bling跟這超級配
儘管放鬆別在意太多
努力工作為了好生活
Work hard, play hard 我都這樣過
All night long, all night long

來來來來來 音量幫拉高分貝
環境的氛圍我來準備
我在忙碌中找機會
又忙裡偷閒才有感覺
...

******* This Lyrics is NOT for Commercial use *******"
愛我還是他,David Tao,60,0.758,0.465,292667,0.391,0,11,0.112,-8.029,1,0.0304,133.025,4,0.152,"黑暗中的我們都沒有說話
你只想回家 不想你回家
寂寞深的像海太讓人害怕
溫柔你的手 輕輕揉著我的髮
你的眉眼說 你好渴望我擁抱
你身體卻在拼命逃 當慾望在燃燒

你愛我還是他
是不是真的他有比我好 你為誰在掙扎
愛我還是他
就說出你想說的真心話
你到底要跟我還是他
...

******* This Lyrics is NOT for Commercial use *******"
飄向北方,Namewee,55,0.387,0.5,269182,0.778,0,0,0.16,-4.658,0,0.126,173.906,4,0.279,"飄向北方 別問我家鄉
高聳古老的城牆 擋不住憂傷
我飄向北方 家人是否無恙
肩上沉重的行囊 盛滿了惆悵

有人說他在老家欠了一堆錢 需要避避風頭
有人說他練就了一身武藝卻沒機會嶄露
有人失去了自我 手足無措四處漂流
有人為了夢想為了三餐為養家餬口

他住在燕郊區 殘破的求職公寓
擁擠的大樓裡 堆滿陌生人都來自外地
他埋頭寫著履歷 懷抱著多少憧憬
往返在九三零號公路 內心盼著奇蹟

忍著淚 (不聽也不想 不敢回頭望的遺憾)
掩著傷 (扛下了夢想 要毅然決然去流浪)
抬頭看 (卸下了自尊 光環 過去多風光)
著斜陽 (就算再不堪 敗仗 也不能投降)

親愛的 (再見了南方 眺望最美麗的家鄉)
在遠方 (椰子樹搖晃 夢境倒映著的幻象)
這城市 (霧霾太猖狂 不散 都看不清前方)
太迷網

...

******* This Lyrics is NOT for Commercial use *******"
長途夜車,Fire EX.,52,0.0894,0.36,186027,0.567,0,5,0.137,-4.458,1,0.0388,102.966,3,0.274,"時間是三點半
南下的長途暝車
路燈的光線 伴心事那想那行
講袂出喙的思念
寫袂入未完的歌
人生是高速公路 我是趕路的車

想袂起來彼時陣怎樣離開
漂浪的生活漸漸慣勢
芡天經過遮濟年
認捌著真濟道理 煞揣無 一條路 轉去

...

******* This Lyrics is NOT for Commercial use *******"
猜不透,Della,57,0.56,0.565,233360,0.455,0,4,0.115,-6.632,1,0.0346,139.956,4,0.182,"猜不透
你最近時好時壞的沈默
我也不想去追問太多
讓試探為彼此的心上了鎖

猜不透
相處會比分開還寂寞
兩個人都只是得過且過
無法感受每次觸摸是真的 是熱的

如果忽遠忽近的灑脫 是你要的自由
...

******* This Lyrics is NOT for Commercial use *******"
