Track Name,Artist Name,Popularity,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,Lyrics,lyrics,final_lyrics
失落沙洲,LaLa Hsu,56,0.728,0.422,299347,0.366,0.0,7,0.112,-7.181,1,0.0333,80.197,4,0.224,又來到這個港口沒有原因的拘留我的心乘著斑駁的輕舟尋找失落的沙洲隨時間的海浪漂流我用力張開雙手擁抱那麼多起起落落想念的還是你望著我的眼波我不是一定要你回來只是當又一個人看海回頭才發現你不在留下我迂迴的徘徊我不是一定要你回來只是當又把回憶翻開除了你之外的空白,"['又', '來到', '這', '個', '港口', '沒有', '原因', '的', '拘留', '我', '的', '心', '乘', '著', '斑駁', '的', '輕舟', '尋找', '失落', '的', '沙洲', '隨', '時間', '的', '海浪', '漂流', '我', '用力', '張開', '雙手', '擁抱', '那麼多', '起起落落', '想念', '的', '還是', '你', '望', '著', '我', '的', '眼波', '我', '不', '是', '一定', '要', '你', '回來', '只是', '當', '又', '一', '個', '人', '看', '海', '回頭', '才', '發現', '你', '不', '在', '留下', '我', '迂迴', '的', '徘徊', '我', '不', '是', '一定', '要', '你', '回來', '只是', '當', '又', '把', '回憶', '翻開', '除了', '你', '之外', '的', '空白']",來到 港口 原因 拘留 心 斑駁 輕舟 尋找 失落 沙洲 時間 海浪 漂流 用力 張開 雙手 擁抱 那麼多 起起落落 想念 眼波 一定 回來 海 回頭 發現 留下 迂迴 徘徊 一定 回來 回憶 翻開 之外 空白
慢冷,Fish Leong,62,0.786,0.521,289604,0.471,0.0,4,0.105,-8.247,1,0.0317,92.054,4,0.269,說完了好像話都說完了總是沉默對坐著眼裡是濃濃夜色感情是偏執的越愛越是偏執的不相信我看到的硬要說裂縫不過是皺褶怎麼先熾熱的卻先變冷了慢熱的卻停不了還在沸騰著看時光任性快跑隨意就轉折慢冷的人啊會自我折磨衝動的人向來聽不見挽留,"['說完', '了', '好像', '話', '都', '說完', '了', '總是', '沉默', '對坐', '著', '眼', '裡', '是', '濃濃', '夜色', '感情', '是', '偏執', '的', '越', '愛', '越', '是', '偏執', '的', '不', '相信', '我', '看到', '的', '硬', '要', '說', '裂縫', '不過', '是', '皺褶', '怎麼', '先', '熾熱', '的', '卻', '先', '變', '冷', '了', '慢', '熱', '的', '卻', '停', '不了', '還', '在', '沸騰', '著', '看', '時光', '任性', '快', '跑', '隨意', '就', '轉折', '慢', '冷', '的', '人', '啊', '會', '自我', '折磨', '衝動', '的', '人', '向來', '聽', '不', '見', '挽留']",說完 好像 話 說完 總是 沉默 對坐 眼 裡 濃濃 夜色 感情 偏執 越 愛 越 偏執 相信 看到 硬 裂縫 皺褶 先 熾熱 先 變 冷 慢 熱 停 不了 沸騰 時光 任性 快 跑 隨意 轉折 慢 冷 自我 折磨 衝動 向來 聽 見 挽留
Without You,高爾宣 OSN,65,0.573,0.669,175500,0.698,0.0,11,0.102,-4.613,1,0.091,80.003,4,0.286,都好像沒有變還是討厭下雨天還是不愛認錯脾氣是硬了點這我都清楚但我沒有辦法改變我後悔高中花錢裝很吵的排氣管想努力賺錢養妳卻養成了壞習慣我還想帶妳到處晃晃到處帶妳玩情人節沒有愛人像台相機沒有快門像張書桌沒有檯燈想念妳的每個角度如果我們還能夠重來,"['都', '好像', '沒有', '變', '還是', '討厭', '下雨天', '還是', '不', '愛', '認錯', '脾氣', '是', '硬', '了', '點', '這', '我', '都', '清楚', '但', '我', '沒有', '辦法', '改變', '我', '後悔', '高中', '花錢', '裝', '很', '吵', '的', '排氣管', '想', '努力', '賺錢', '養', '妳', '卻', '養成', '了', '壞', '習慣', '我', '還', '想', '帶', '妳', '到處', '晃晃', '到處', '帶', '妳', '玩', '情人節', '沒有', '愛人', '像', '台', '相機', '沒有', '快門', '像', '張', '書桌', '沒有', '檯燈', '想念', '妳', '的', '每', '個', '角度', '如果', '我們', '還', '能夠', '重來']",好像 變 討厭 下雨天 愛 認錯 脾氣 硬 清楚 辦法 改變 後悔 高中 花錢 裝 吵 排氣管 想 努力 賺錢 養 妳 養成 壞 習慣 想 帶 妳 到處 晃晃 到處 帶 妳 玩 情人節 愛人 台 相機 快門 張 書桌 檯燈 想念 妳 角度 能夠 重來
年少有為,Ronghao Li,62,0.322,0.518,279147,0.462,3.13e-06,10,0.117,-8.471,1,0.0277,131.892,4,0.289,電視一直閃聯絡方式都還沒刪你待我的好我卻錯手毀掉也曾一起想有個地方睡覺吃飯可怎麼去熬日夜顛倒連頭款也凑不到牆板被我砸爛到現在還沒修一碗熱的粥你怕我沒夠都留一半帶走給你形容美好今後你常常眼睛會紅原來心疼我我那時候不懂假如我年少有為不自卑懂得什麼是珍貴那些美夢沒給你我一生有愧假如我年少有為知進退,"['電視', '一直', '閃', '聯絡', '方式', '都', '還', '沒', '刪', '你', '待', '我', '的', '好', '我', '卻', '錯手', '毀掉', '也', '曾', '一起', '想', '有', '個', '地方', '睡覺', '吃飯', '可', '怎麼', '去', '熬', '日夜', '顛倒', '連', '頭款', '也', '凑', '不', '到', '牆板', '被', '我', '砸爛', '到', '現在', '還', '沒', '修', '一', '碗', '熱', '的', '粥', '你', '怕', '我', '沒', '夠', '都', '留', '一半', '帶走', '給', '你', '形容', '美好', '今後', '你', '常常', '眼睛', '會', '紅', '原來', '心疼', '我', '我', '那', '時候', '不', '懂', '假如', '我', '年少', '有為不自卑', '懂得', '什麼', '是', '珍貴', '那些', '美', '夢', '沒', '給', '你', '我', '一生', '有愧', '假如', '我', '年少', '有', '為知進退']",電視 一直 閃 聯絡 方式 沒 刪 錯手 毀掉 一起 想 地方 睡覺 吃飯 熬 日夜 顛倒 頭款 凑 牆板 砸爛 現在 沒 修 碗 熱 粥 怕 沒 夠 留 一半 帶走 形容 美好 今後 常常 眼睛 紅 原來 心疼 懂 年少 有為不自卑 懂得 珍貴 美 夢 沒 一生 有愧 年少 為知進退
紅色高跟鞋,Tanya Chua,62,0.104,0.476,206587,0.659,0.0,11,0.232,-4.898,0,0.0251,176.018,4,0.492,該怎麼去形容你最貼切拿什麼跟你作比較才算特別對你的感覺強烈卻又不太瞭解只憑直覺你像窩在被子裡的舒服卻又像風琢磨不住像手腕上散發的香水味像愛不釋手的紅色高跟鞋該怎麼去形容你最貼切,"['該', '怎麼', '去', '形容', '你', '最', '貼切', '拿', '什麼', '跟', '你', '作', '比較', '才', '算', '特別', '對', '你', '的', '感覺', '強烈', '卻', '又', '不', '太', '瞭解', '只', '憑', '直覺', '你', '像', '窩在', '被子', '裡', '的', '舒服', '卻', '又', '像', '風', '琢磨', '不', '住', '像', '手腕', '上', '散發', '的', '香水味', '像', '愛不釋手', '的', '紅色', '高跟鞋', '該', '怎麼', '去', '形容', '你', '最', '貼切']",形容 貼切 作 比較 算 特別 感覺 強烈 太 瞭解 直覺 窩在 被子 裡 舒服 風 琢磨 住 手腕 散發 香水味 愛不釋手 紅色 高跟鞋 形容 貼切
給我一個理由忘記,A-Lin,59,0.583,0.399,285547,0.512,0.0,8,0.104,-5.801,1,0.0357,133.175,4,0.197,雨都停了這片天灰什麼呢我還記得你說我們要快樂深夜裡的腳步聲總是刺耳害怕寂寞就讓狂歡的城市陪我關燈只是哪怕周圍再多人感覺還是一個人每當我笑了心卻狠狠的哭著給我一個理由忘記那麼愛我的你給我一個理由放棄當時做的決定有些愛越想抽離卻越更清晰,"['雨', '都', '停', '了', '這', '片', '天', '灰', '什麼', '呢', '我', '還', '記得', '你', '說', '我們', '要', '快樂', '深夜', '裡', '的', '腳步聲', '總是', '刺耳', '害怕', '寂寞', '就', '讓', '狂歡', '的', '城市', '陪', '我', '關燈', '只是', '哪怕', '周圍', '再', '多', '人', '感覺', '還是', '一', '個', '人', '每當', '我', '笑', '了', '心', '卻', '狠狠', '的', '哭', '著', '給', '我', '一', '個', '理由', '忘記', '那麼', '愛', '我', '的', '你', '給', '我', '一', '個', '理由', '放棄', '當時', '做', '的', '決定', '有些', '愛', '越', '想', '抽離', '卻', '越', '更', '清晰']",雨 停 片 天 灰 記得 快樂 深夜 裡 腳步聲 總是 刺耳 害怕 寂寞 狂歡 城市 陪 關燈 周圍 感覺 笑 心 狠狠 哭 理由 忘記 愛 理由 放棄 當時 決定 愛 越 想 抽離 越 清晰
刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,61,0.873,0.425,320166,0.201,0.0,10,0.111,-11.961,1,0.0373,136.328,4,0.267,好幾次我告訴我自己越想努力趕上光的影越無法抽離而已刻骨銘心只有我自己好不容易交出真心的勇氣你沉默的回應是善意刻在我心底的名字忘記了時間這回事於是謊言說了一次就一輩子曾頑固跟世界對峙覺得連呼吸都是奢侈如果有下次我會再愛一次刻在我心底的名字,"['好幾', '次', '我', '告訴', '我', '自己', '越', '想', '努力', '趕上', '光', '的', '影', '越', '無法', '抽離', '而已', '刻骨銘心', '只有', '我', '自己', '好不容易', '交出', '真心', '的', '勇氣', '你', '沉默', '的', '回應', '是', '善意', '刻', '在', '我', '心', '底', '的', '名字', '忘記', '了', '時間', '這', '回', '事', '於是', '謊言', '說', '了', '一', '次', '就', '一輩子', '曾', '頑固', '跟', '世界', '對峙', '覺得', '連', '呼吸', '都', '是', '奢侈', '如果', '有', '下', '次', '我', '會', '再', '愛', '一', '次', '刻', '在', '我', '心', '底', '的', '名字']",好幾 次 告訴 越 想 努力 趕上 影 越 無法 抽離 刻骨銘心 好不容易 交出 真心 勇氣 沉默 回應 善意 刻 心 底 名字 忘記 時間 回 事 謊言 次 一輩子 頑固 世界 對峙 覺得 呼吸 奢侈 次 愛 次 刻 心 底 名字
遇見,Stefanie Sun,63,0.841,0.631,209760,0.233,3.24e-06,8,0.228,-13.016,1,0.0329,91.864,4,0.442,聽見冬天的離開我在某年某月醒過來我想我等我期待未來卻不能因此安排陰天傍晚車窗外未來有一個人在等待向左向右向前看愛要拐幾個彎才來,"['聽見', '冬天', '的', '離開', '我', '在', '某', '年', '某', '月', '醒過來', '我', '想', '我', '等', '我', '期待', '未來', '卻', '不能', '因此', '安排', '陰天', '傍晚', '車窗', '外', '未來', '有', '一', '個', '人', '在', '等待', '向', '左', '向', '右', '向', '前', '看', '愛', '要', '拐', '幾', '個', '彎', '才', '來']",聽見 冬天 離開 醒過來 想 期待 未來 不能 安排 陰天 傍晚 車窗 外 未來 等待 左 右 前 愛 拐 彎
兜圈 (偶像劇「必娶女人」片尾曲),Yoga Lin,47,0.849,0.605,245521,0.31,0.0,7,0.136,-10.276,1,0.039,118.028,4,0.292,玩玩積木換換座位聽聽唱片又輪迴了幾遍騎騎單車盪盪鞦韆看看雲堆還要吹散幾遍喔不知不覺已走了多遠妳打呵欠我遊花園差一點多些路過了學校花店荒野到海邊有一種浪漫的愛是浪費時間徘徊到繁華世界才發現妳背影平凡得特別繞過了城外邊界還是沒告別愛錯過了太久反而錯的完美無缺幸福兜了個圈想去的終點,"['玩玩', '積木', '換換', '座位', '聽聽', '唱片', '又', '輪迴', '了', '幾', '遍', '騎騎', '單車', '盪盪', '鞦韆', '看看', '雲堆', '還要', '吹散', '幾', '遍', '喔', '不知不覺', '已', '走', '了', '多', '遠', '妳', '打呵欠', '我', '遊', '花園', '差一點', '多些', '路過', '了', '學校', '花店', '荒野', '到', '海邊', '有', '一', '種', '浪漫', '的', '愛', '是', '浪費', '時間', '徘徊', '到', '繁華', '世界', '才', '發現', '妳', '背影', '平凡', '得', '特別', '繞過', '了', '城', '外', '邊界', '還是', '沒', '告別', '愛', '錯過', '了', '太', '久', '反而', '錯', '的', '完美', '無缺', '幸福', '兜', '了', '個', '圈', '想', '去', '的', '終點']",玩玩 積木 換換 座位 聽聽 唱片 輪迴 遍 騎騎 單車 盪盪 鞦韆 看看 雲堆 吹散 遍 喔 不知不覺 走 遠 妳 打呵欠 遊 花園 差一點 多些 路過 學校 花店 荒野 海邊 種 浪漫 愛 浪費 時間 徘徊 繁華 世界 發現 妳 背影 平凡 特別 繞過 城 外 邊界 沒 告別 愛 錯過 太 久 錯 完美 無缺 幸福 兜 圈 想 終點
無人知曉,Hebe Tien,59,0.859,0.471,288733,0.432,0.0,4,0.0915,-7.846,0,0.0454,129.386,4,0.159,我像是小數點第幾位存在但能自動被省略也習慣不避嫌跟你看作一對你也算夠謹慎的同類踏著卻不逾越那條線發生一切或不發生一切又有什麼差別看不見聽不到愛不了卻注定要糾結我想我是壞人故意不聽懂你的拒絕難以昭告世界愛上你多優越無人知曉可不可憐不靠近不走遠不定義像玩笑的曖昧,"['我', '像是', '小數點', '第幾', '位', '存在', '但', '能', '自動', '被', '省略', '也', '習慣', '不', '避嫌', '跟', '你', '看作', '一', '對', '你', '也', '算', '夠', '謹慎', '的', '同', '類', '踏', '著', '卻', '不', '逾越', '那', '條', '線', '發生', '一切', '或', '不', '發生', '一切', '又', '有', '什麼', '差別', '看', '不', '見', '聽', '不', '到', '愛不了', '卻', '注定', '要', '糾結', '我', '想', '我', '是', '壞人', '故意', '不', '聽懂', '你', '的', '拒絕', '難以', '昭告', '世界', '愛上', '你', '多', '優越', '無', '人', '知曉', '可不可憐', '不', '靠近', '不', '走遠', '不', '定義', '像', '玩笑', '的', '曖昧']",像是 小數點 第幾 位 存在 自動 省略 習慣 避嫌 看作 算 夠 謹慎 類 踏 逾越 條 線 發生 發生 差別 見 聽 愛不了 注定 糾結 想 壞人 故意 聽懂 拒絕 難以 昭告 世界 愛上 優越 知曉 可不可憐 靠近 走遠 定義 玩笑 曖昧
